utterance,utter_entity_1,utter_entity_2,utter_entity_3,utter_entity_4,utter_entity_5,utter_entity_6,utter_entity_7,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,intents
"I need a letter from Human Resources for next week, it has to content my job title and my working time.",Human Resources,Working Time,Secretary,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
henry your salary as manager was approved,henry,salary,manager,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
I would need an employment letter with a net salary and my job title in order to submit it to the American Embassy with the other documentation for a visa.,American Embassy,net salary,job title,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
"I need a letter wich directed to Leslie Burnett, officer, To ask the remaining of vacations",Leslie Burnett,vacations,Officer,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
Please send a sealed letter to Joe of HR asking about the status of vacation request from the manager because of the travel of january 20,Joe,vacation,Manager,Sealed,20-Jan,Travel,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
"Please send to george mittchel vacations request letter and include domicile, job title, salary and date of last vacation",George Mittchel,Domicile,Job Title,Salary,Date of last vacation,vacations request,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
"I want a human resource letter about Rita, the cfo, that includes her salary and starting date of employment, and that is sealed for future use.",Rita,salary,cfo,sealed,starting date of employment,future use,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
send sealed hr letter to president for job request. about bootcleaner with a salary of 12 usd/hrs at january first,president,12 usd/hrs,bootcleaner,sealed,january first,job request,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
i m inder job title accountant joining date 10th dec want to know about salary in the stamped envelop to hr,inder,salary,accountant,stamped,10th dec,salary,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
"henry, your salary of manager was stamped on jan 3 for illness",henry,salary,manager,stamped,3-Jan,illness,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
"Hi David, please provide me with an attested reference keeping in view my top notch productivity and attendance as a Software engineer here since August 1, 2017",David,Attendance,Software Engineer,Attestation,1-Aug-17,Requesting a Reference,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
"I need to send an HR letter to Daniel that includes salary, job title, working years and company name",Daniel,salary,job title,working years,company name,I need to send,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
"Hi Maria, i want to know when my salary doubt of 100$ is going to be payed? My starting day was 21/01/2018. Send a messsage to my secretary",Maria,100$,Secretary,payed,21/01/2018,salary,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
can you please give me information from hr department about my dental insurance as chief marketing and is it sealed from starting date of insurance,hr department,dental insurance,job title,sealed,starting date of insurance,informations,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
"I want an employment letter that includes my salary, job title and starting date of employment, it must be sealed for Apple, because I am submitting an employment request.",Apple,salary,job title,sealed,starting date of employment,employment request,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),"Detail to Include (i.e. sealed, stamped, etc.)",Detail to Include (i.e. starting date of employment),Reason for HR Letter,Requesting an HR letter
can you cancel the human resources letter you request today 22/01/2020?,22/01/2002,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
"Good afternoon, i need to cancel my requested RRHH letter for the day 13/02/2020",13/02/2020,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
cancel my requested hr letter for january first,january first,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
Please cancel the request for the HR letter that I requested on may 9th.,may 9th,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
"Hello, i want to cancel the last HR letter that i sent you the day 01/02/2019",1/2/2019,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
Please I need to cancel the HR letter requested for next Monday.,next monday,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
"I need to cancel my request of HR letter of good behavior, I decided to stay in my current job.",June 10th,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
i want to cancel letter of 14th jan of hr,14th,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
Cancel the letter requested on monday,Monday,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
please cancel my hr letter request from 02/02/2020,2/2/2020,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
hi i want my letter send to HR of 05/06/2020,5/6/2020,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
"today ,01/02/2020 , i want to cancel my hr letter",1/2/2020,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
Cancel the letter I applied for on january 10,10-Jan,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
Cancel the request for HR letter of may 16,16-May,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
"This letter is to ask the cancelation of the letter asked a few days ago, on june 01st",june 01st,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
cancell an hr letter requset on may 15th.,may 15th,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
